bowler,MOM,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
TL Suman,1.0,25.0,198.0,7.92,4.0,25.0,0.0,0.0,2.0,0.08,1.0,
TM Dilshan,1.0,46.0,368.0,8.0,5.0,46.0,5.0,0.108695652173913,0.0,0.0,7.0,
UT Yadav,8.0,416.0,3640.0,8.75,117.0,416.0,110.0,0.264423076923076,19.0,0.0456730769230769,176.0,30.0
Umar Gul,1.0,23.0,198.0,8.60869565217391,8.0,23.0,12.0,0.521739130434782,6.0,0.260869565217391,6.0,
V Kohli,12.0,43.0,371.0,8.62790697674418,5.0,43.0,8.0,0.186046511627906,6.0,0.13953488372093,0.0,0.0
V Sehwag,11.0,23.0,236.0,10.2608695652173,4.0,23.0,1.0,0.0434782608695652,1.0,0.0434782608695652,2.0,
VR Aaron,2.0,155.0,1392.0,8.98064516129032,35.0,155.0,64.0,0.412903225806451,6.0,0.0387096774193548,55.0,9.0
WP Saha,3.0,,,,,,,,,,,
WPUJC Vaas,1.0,48.0,364.0,7.58333333333333,8.0,48.0,8.0,0.166666666666666,2.0,0.0416666666666666,33.0,
Washington Sundar,1.0,59.0,467.0,7.91525423728813,3.0,59.0,8.0,0.135593220338983,0.0,0.0,25.0,9.0
YK Pathan,16.0,193.0,1443.0,7.47668393782383,15.0,193.0,43.0,0.222797927461139,0.0,0.0,59.0,2.0
YS Chahal,1.0,301.0,2416.0,8.0265780730897,40.0,301.0,60.0,0.199335548172757,6.0,0.0199335548172757,54.0,36.0
Yuvraj Singh,5.0,146.0,1092.0,7.47945205479451,20.0,146.0,12.0,0.0821917808219178,1.0,0.00684931506849315,0.0,2.0
Z Khan,1.0,371.0,2860.0,7.70889487870619,103.0,371.0,89.0,0.239892183288409,2.0,0.00539083557951482,217.0,24.0
A Ashish Reddy,,45.0,400.0,8.88888888888889,18.0,45.0,8.0,0.177777777777777,2.0,0.0444444444444444,1.0,1.0
A Choudhary,,17.0,144.0,8.47058823529411,4.0,17.0,6.0,0.352941176470588,1.0,0.0588235294117647,6.0,5.0
A Dananjaya,,4.0,48.0,12.0,0.0,4.0,1.0,0.25,0.0,0.0,1.0,
A Flintoff,,11.0,106.0,9.63636363636363,4.0,11.0,0.0,0.0,0.0,0.0,2.0,
A Mithun,,48.0,477.0,9.9375,13.0,48.0,15.0,0.3125,9.0,0.1875,11.0,
A Nel,,3.0,31.0,10.3333333333333,1.0,3.0,0.0,0.0,0.0,0.0,1.0,
A Roy,,2.0,14.0,7.0,0.0,2.0,3.0,1.5,0.0,0.0,0.0,
A Uniyal,,6.0,67.0,11.1666666666666,3.0,6.0,2.0,0.333333333333333,0.0,0.0,2.0,
AA Chavan,,42.0,339.0,8.07142857142857,3.0,42.0,8.0,0.19047619047619,0.0,0.0,24.0,
AA Kazi,,2.0,21.0,10.5,0.0,2.0,1.0,0.5,0.0,0.0,0.0,
AA Noffke,,4.0,41.0,10.25,2.0,4.0,5.0,1.25,0.0,0.0,1.0,
AB Agarkar,,131.0,1174.0,8.9618320610687,31.0,131.0,37.0,0.282442748091603,2.0,0.015267175572519,30.0,
AB McDonald,,31.0,263.0,8.48387096774193,5.0,31.0,2.0,0.064516129032258,0.0,0.0,7.0,
AC Thomas,,53.0,416.0,7.84905660377358,19.0,53.0,10.0,0.188679245283018,2.0,0.0377358490566037,30.0,
AF Milne,,18.0,185.0,10.2777777777777,6.0,18.0,11.0,0.611111111111111,0.0,0.0,7.0,5.0
AG Murtaza,,44.0,322.0,7.31818181818181,4.0,44.0,9.0,0.204545454545454,0.0,0.0,13.0,
AL Menaria,,19.0,144.0,7.57894736842105,4.0,19.0,4.0,0.210526315789473,0.0,0.0,8.0,
AM Nayar,,39.0,323.0,8.28205128205128,1.0,39.0,11.0,0.282051282051282,0.0,0.0,1.0,
AM Salvi,,25.0,205.0,8.2,5.0,25.0,10.0,0.4,0.0,0.0,11.0,
AN Ahmed,,58.0,515.0,8.87931034482758,16.0,58.0,26.0,0.448275862068965,5.0,0.0862068965517241,23.0,
AP Dole,,11.0,114.0,10.3636363636363,2.0,11.0,6.0,0.545454545454545,1.0,0.0909090909090909,5.0,
AS Raut,,5.0,45.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,
AUK Pathan,,7.0,63.0,9.0,3.0,7.0,6.0,0.857142857142857,0.0,0.0,0.0,
Abdur Razzak,,2.0,29.0,14.5,0.0,2.0,5.0,2.5,1.0,0.5,0.0,
Anand Rajan,,25.0,206.0,8.24,7.0,25.0,12.0,0.48,1.0,0.04,7.0,
Ankit Sharma,,64.0,475.0,7.421875,5.0,64.0,14.0,0.21875,1.0,0.015625,24.0,1.0
