batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values
DA Warner,37.6269841269841,462,179,48,4,3398,4741,139.523248969982,67,0.7577236949726294
V Kohli,32.1538461538461,486,190,42,5,4211,5434,129.04298266445,77,0.7577132314170381
SK Raina,28.6507936507936,492,194,38,1,4044,5415,133.902077151335,76,0.7379944487230092
CH Gayle,36.774193548387,383,322,35,7,3131,4560,145.640370488661,56,0.7375371460293847
RG Sharma,27.0,431,193,32,1,3816,4914,128.77358490566,68,0.6799121401422907
AB de Villiers,31.1830985915492,361,211,34,3,2977,4428,148.740342626805,56,0.6775946201201619
S Dhawan,29.3164556962025,529,95,32,0,3776,4632,122.669491525423,63,0.6601824461024
RV Uthappa,26.1529411764705,443,156,23,0,3492,4446,127.319587628865,65,0.6404769472133003
MS Dhoni,26.335294117647,303,207,23,0,3318,4477,134.930681133212,61,0.6314854885038035
G Gambhir,27.9668874172185,499,58,34,0,3524,4223,119.835414301929,58,0.6189390042273143
AM Rahane,29.1666666666666,410,74,29,2,3215,3850,119.751166407465,55,0.5958189518654495
SR Watson,27.8,345,178,22,4,2639,3614,136.945812807881,47,0.5876487971982108
KD Karthik,22.7654320987654,358,101,17,1,2890,3688,127.612456747404,52,0.544363872920105
SE Marsh,36.0724637681159,274,77,21,1,1913,2489,130.109775222164,37,0.5428420615139475
AT Rayudu,24.1014492753623,281,120,19,1,2681,3326,124.058187243565,47,0.5241954771926751
BB McCullum,26.5412844036697,294,128,15,2,2272,2893,127.332746478873,44,0.523118803967826
V Sehwag,26.2307692307692,340,105,17,2,1833,2728,148.827059465357,35,0.5200414026882018
YK Pathan,21.1830065359477,265,161,15,1,2334,3241,138.860325621251,39,0.5046082554374741
RR Pant,33.1851851851851,151,95,12,1,1104,1792,162.31884057971,26,0.49462245026936263
DR Smith,27.1022727272727,249,117,15,0,1803,2385,132.279534109816,35,0.48950471436941395
KL Rahul,34.7068965517241,177,81,17,2,1465,2013,137.406143344709,26,0.48925416723195925
SR Tendulkar,29.9230769230769,300,29,14,1,2044,2334,114.187866927592,37,0.4770551910488731
MEK Hussey,34.0862068965517,200,52,16,1,1648,1977,119.963592233009,28,0.4688426987121639
