batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values
MK Pandey,24.1344537815126,257,76,15,1,2425,2872,118.432989690721,37,0.46798124690068693
M Vijay,25.392156862745,247,91,13,2,2164,2590,119.685767097966,36,0.4671780951632542
Yuvraj Singh,21.9444444444444,218,149,12,0,2207,2765,125.283189850475,36,0.4661391089178012
KA Pollard,21.090909090909,184,174,13,0,1964,2784,141.751527494908,30,0.4652614770145818
AD Russell,27.7884615384615,99,119,10,0,803,1445,179.950186799501,23,0.4647308372547904
PA Patel,21.1323529411764,369,49,13,0,2444,2874,117.594108019639,39,0.46341475682834143
J Bairstow,46.8,50,18,4,1,293,468,159.726962457337,7,0.4515382725404605
AC Gilchrist,25.8625,240,92,12,2,1555,2069,133.054662379421,26,0.44540080557222417
SV Samson,25.3977272727272,172,89,13,2,1728,2235,129.340277777777,30,0.443133079799163
JH Kallis,25.5473684210526,257,44,17,0,2291,2427,105.936272370144,34,0.44182332187484413
SPD Smith,28.4305555555555,183,47,9,1,1616,2047,126.670792079207,30,0.44028310613155913
F du Plessis,29.28125,165,59,11,0,1499,1874,125.01667778519,28,0.43708487667979856
R Dravid,26.5121951219512,272,28,11,0,1918,2174,113.3472367049,32,0.43543505436908386
JC Buttler,31.8,141,62,9,0,954,1431,150.0,16,0.43194244230552603
JP Duminy,27.2133333333333,128,79,14,0,1680,2041,121.488095238095,28,0.42898046917279836
CA Lynn,31.9024390243902,127,63,9,0,939,1308,139.297124600639,19,0.4247130282026879
LMP Simmons,37.2068965517241,110,44,12,1,878,1079,122.892938496583,17,0.42375462796582986
SS Iyer,28.0983606557377,151,67,11,0,1370,1714,125.109489051094,26,0.4225047362458755
Q de Kock,29.78,160,55,10,1,1136,1489,131.073943661971,22,0.42028871717661775
KS Williamson,32.170731707317,114,44,10,0,981,1319,134.454638124362,20,0.4188164462024068
ML Hayden,34.59375,124,44,8,0,839,1107,131.942789034564,17,0.41699357380903074
DA Miller,24.3506493506493,131,86,11,1,1376,1875,136.26453488372,23,0.4112082270139489
AJ Finch,23.8904109589041,179,67,11,0,1372,1744,127.113702623906,23,0.39954893398096825
DPMD Jayawardene,23.1794871794871,201,40,11,1,1522,1808,118.791064388961,23,0.38614925740845957
KC Sangakkara,24.8088235294117,197,26,9,0,1424,1687,118.469101123595,23,0.3859274244694959
GJ Maxwell,20.9402985074626,113,91,6,0,902,1403,155.543237250554,18,0.383047377363171
HM Amla,36.0625,60,21,5,2,418,577,138.038277511961,6,0.3759113919693279
AS Yadav,28.8857142857142,111,28,6,0,760,1011,133.026315789473,15,0.3731150392084701
KK Nair,23.3333333333333,159,39,8,0,1160,1470,126.724137931034,21,0.37297647272734175
N Rana,26.9268292682926,83,60,7,0,835,1104,132.215568862275,14,0.36609557012457383
KP Pietersen,27.8055555555555,92,40,4,1,758,1001,132.058047493403,15,0.3642011004460129
S Badrinath,22.1692307692307,156,28,11,0,1245,1441,115.74297188755,23,0.3604598157675667
MK Tiwary,20.4457831325301,157,40,6,0,1489,1697,113.969106783075,25,0.35775352223625123
WP Saha,19.1397849462365,161,59,7,1,1382,1780,128.798842257597,18,0.3562964819741724
BJ Hodge,22.2222222222222,125,43,5,0,1153,1400,121.422376409366,21,0.3534041100877196
A Symonds,27.0555555555555,75,41,5,1,781,974,124.711907810499,14,0.34898765825930694
SC Ganguly,24.0892857142857,138,41,6,0,1326,1349,101.734539969834,21,0.34599214934239986
DJ Hussey,21.6721311475409,90,60,4,0,1101,1322,120.072661217075,19,0.34071387979048634
ST Jayasuriya,25.6,85,38,5,1,573,768,134.031413612565,10,0.33712105330254477
Mandeep Singh,18.6385542168674,161,33,5,0,1254,1547,123.365231259968,18,0.3351502289869156
E Lewis,29.0,36,26,4,0,343,464,135.276967930029,8,0.3343828662672428
N Pooran,29.5,10,14,0,0,110,177,160.90909090909,3,0.33396127072252957
TM Dilshan,23.06,139,24,8,0,1047,1153,110.124164278892,17,0.3328659510458938
HH Pandya,18.327868852459,74,69,3,0,736,1118,151.902173913043,12,0.33161317539190766
M Vohra,22.5777777777777,98,39,3,0,800,1016,127.0,15,0.3312685300045052
RA Tripathi,23.3636363636363,75,28,4,0,571,771,135.026269702276,11,0.3237642629563952
R Parag,33.8,18,5,1,0,133,169,127.067669172932,3,0.32313158579024787
CL White,21.5777777777777,75,38,6,0,774,971,125.452196382428,15,0.32305842253657524
KH Pandya,19.891304347826,86,36,1,0,635,915,144.094488188976,13,0.3222109439358484
P Shaw,24.64,72,19,4,1,435,616,141.609195402298,7,0.32179462551192756
MA Agarwal,17.7222222222222,118,52,5,0,1027,1276,124.245374878286,16,0.318723666638894
SS Tiwary,19.9375,93,45,7,0,1111,1276,114.851485148514,16,0.31847105071354376
SP Narine,14.8703703703703,95,46,4,0,481,803,166.943866943866,11,0.3175012662416412
MN van Wyk,33.4,18,1,1,0,135,167,123.703703703703,3,0.3166718870533185
RA Jadeja,15.6079999999999,136,65,0,0,1632,1951,119.546568627451,15,0.31606077577872926
M Ali,22.2142857142857,20,23,3,0,183,311,169.945355191256,4,0.3158675745377535
DJ Bravo,15.1313131313131,118,60,4,0,1193,1498,125.565800502933,15,0.3095617778268892
HH Gibbs,24.6111111111111,84,31,5,0,837,886,105.854241338112,11,0.30765247499709253
NV Ojha,16.5425531914893,122,78,6,0,1360,1555,114.338235294117,11,0.30520752668780715
Ishan Kishan,21.5454545454545,64,34,3,0,546,711,130.21978021978,10,0.3044809801267098
MC Henriques,19.38,86,27,5,0,769,969,126.007802340702,12,0.30275598515173646
PD Collingwood,29.0,9,13,3,0,159,203,127.672955974842,3,0.3015157474219735
GC Smith,25.4827586206896,95,9,4,0,691,739,106.946454413892,9,0.3007204798930305
S Gill,22.4782608695652,43,15,4,0,384,517,134.635416666666,6,0.2938280818307164
LRPL Taylor,18.8333333333333,68,45,3,0,847,1017,120.070838252656,11,0.2923722326965974
LJ Wright,21.2,15,3,0,0,63,106,168.253968253968,2,0.2912477857205547
MJ Lumb,23.1666666666666,47,6,1,0,198,278,140.40404040404,5,0.2910004152868395
JD Ryder,20.8275862068965,67,19,4,0,466,604,129.613733905579,8,0.29098891997705895
Kamran Akmal,21.3333333333333,12,8,1,0,78,128,164.102564102564,1,0.28772801927780167
OA Shah,23.0,35,23,4,0,405,506,124.938271604938,6,0.287544476630281
V Shankar,21.2592592592592,34,24,2,0,429,574,133.799533799533,6,0.2864801135158394
Y Venugopal Rao,18.9423076923076,77,37,3,0,865,985,113.872832369942,11,0.2856656190905785
EJG Morgan,18.9777777777777,76,34,4,0,725,854,117.793103448275,10,0.2845630064656389
BA Stokes,20.21875,43,25,1,1,493,647,131.237322515212,7,0.28281196509156187
KM Jadhav,15.5857142857142,92,38,3,0,879,1091,124.118316268486,11,0.2823573451852751
JR Hopes,21.9473684210526,49,11,4,0,314,417,132.8025477707,4,0.2822301023662832
RS Bopara,24.1363636363636,39,16,3,0,468,531,113.461538461538,6,0.28079242201886284
BJ Rohrer,24.125,22,5,1,0,146,193,132.191780821917,3,0.27764353420128646
SN Khan,18.9090909090909,45,12,1,0,291,416,142.955326460481,6,0.27724123601331047
B Stanlake,5.0,1,0,0,0,2,5,250.0,0,0.27694794249075205
A Hales,25.3333333333333,14,6,0,0,119,152,127.731092436974,3,0.2768118803006623
JA Morkel,14.5522388059701,61,54,3,0,712,975,136.938202247191,7,0.27670944590613067
SA Asnodkar,22.2631578947368,59,10,1,0,352,423,120.170454545454,7,0.27664869432240397
AC Voges,25.8571428571428,16,3,0,0,143,181,126.573426573426,2,0.2763471671100885
H Brar,22.0,2,1,0,0,14,22,157.142857142857,0,0.2756473138134294
Salman Butt,27.5714285714285,30,2,1,0,172,193,112.209302325581,2,0.27429277557909665
PC Valthaty,21.9565217391304,63,20,3,1,432,505,116.898148148148,5,0.27393174803284864
MJ Guptill,20.8461538461538,25,14,0,0,197,271,137.563451776649,5,0.2733329504397756
MS Bisla,20.4615384615384,97,23,4,0,737,798,108.276797829036,6,0.2730637861400469
JJ Roy,23.25,18,8,1,0,139,186,133.812949640287,2,0.27222247268971056
MP Stoinis,19.28,35,18,1,0,373,482,129.222520107238,7,0.2694113137232229
GJ Bailey,18.4166666666666,60,19,2,0,552,663,120.108695652173,8,0.2670235735469812
DJ Harris,27.75,11,5,0,0,103,111,107.766990291262,2,0.26593089175888623
CJ Anderson,18.551724137931,40,31,2,0,436,538,123.394495412844,7,0.26580126399298876
CH Morris,14.054054054054,37,26,2,0,339,520,153.39233038348,5,0.2647157764962089
Shakib Al Hasan,16.5,71,22,2,0,615,759,123.414634146341,8,0.26441515393948
AD Mathews,17.6585365853658,45,29,1,0,599,724,120.868113522537,8,0.26423986261371735
IK Pathan,14.0243902439024,94,38,1,0,985,1150,116.751269035533,10,0.26410176924458556
TM Head,20.5,12,8,1,0,151,205,135.761589403973,4,0.2637122620383825
SM Katich,21.9090909090909,26,8,1,0,191,241,126.178010471204,3,0.2621556120741068
BJ Haddin,18.0,2,1,0,0,11,18,163.636363636363,0,0.2606854365580149
Umar Gul,9.75,2,5,0,0,19,39,205.263157894736,0,0.259597855414716
STR Binny,13.3636363636363,66,35,0,0,700,882,126.0,10,0.2578248239263149
BCJ Cutting,14.1176470588235,15,19,0,0,146,240,164.383561643835,2,0.25613125961917177
Azhar Mahmood,18.4761904761904,40,13,2,0,311,388,124.758842443729,5,0.2545400262566277
TL Suman,17.3333333333333,55,26,2,0,587,676,115.161839863713,6,0.25294141137428633
L Livingstone,18.0,6,5,0,0,48,72,150.0,1,0.2520550350989231
SW Billings,17.7894736842105,33,10,3,0,256,338,132.03125,3,0.2516378053860095
S Sohal,18.4,34,18,2,0,311,368,118.327974276527,6,0.24998570166803913
MV Boucher,17.1304347826086,33,12,0,0,318,394,123.899371069182,6,0.2456643302405653
SA Yadav,14.4761904761904,53,21,1,0,479,608,126.931106471816,6,0.2451939015729137
RN ten Doeschate,15.5238095238095,27,15,1,0,238,326,136.974789915966,4,0.24474035962552337
UT Khawaja,21.1666666666666,14,3,0,0,105,127,120.95238095238,2,0.24421233939351666
S Curran,11.875,13,3,1,0,55,95,172.727272727272,1,0.2440880725592012
Gurkeerat Singh,16.5185185185185,48,11,2,0,353,446,126.345609065155,3,0.24292907448736975
LA Pomersbach,18.875,27,13,1,0,251,302,120.318725099601,3,0.24280254660899453
AP Dole,17.0,3,1,0,0,23,34,147.826086956521,1,0.24236416833716934
CR Brathwaite,13.4285714285714,10,16,0,0,120,188,156.666666666666,2,0.24224530938815134
AR Patel,13.0,48,35,0,0,655,806,123.053435114503,7,0.24175840708751095
C de Grandhomme,14.9047619047619,19,18,0,0,229,313,136.681222707423,5,0.24171846224994897
Mohammad Nabi,14.6,11,7,0,0,95,146,153.684210526315,1,0.24033664966862928
Harbhajan Singh,9.69767441860465,79,42,1,0,632,834,131.962025316455,6,0.2381619039030217
AP Majumdar,21.75,7,2,0,0,77,87,112.987012987013,2,0.23726858784991925
SM Pollock,18.375,12,8,0,0,116,147,126.724137931034,2,0.23637269901417585
NLTC Perera,14.1333333333333,26,26,0,0,326,424,130.061349693251,5,0.23633700446439926
JEC Franklin,20.4375,25,9,1,0,309,327,105.825242718446,3,0.2361761220595029
S Vidyut,18.125,22,3,1,0,115,145,126.086956521739,2,0.23565333139517952
AC Blizzard,17.1428571428571,22,2,1,0,91,120,131.868131868131,2,0.2353810173641019
SP Fleming,19.6,26,3,0,0,171,196,114.619883040935,3,0.23513320324333553
M Santner,17.5,0,3,0,0,25,35,140.0,0,0.23493977074801853
Misbah-ul-Haq,14.625,10,6,0,0,82,117,142.682926829268,2,0.23083644455633384
Shahid Afridi,9.0,7,6,0,0,46,81,176.086956521739,1,0.2305958873982014
AL Menaria,17.4347826086956,24,17,0,0,367,401,109.264305177111,5,0.23056759316208705
S Hetmyer,18.6,4,7,1,0,76,93,122.368421052631,1,0.22937200793412132
JP Faulkner,11.7111111111111,36,23,0,0,406,527,129.802955665024,6,0.22847158356752922
AM Nayar,13.44,57,20,0,0,588,672,114.285714285714,6,0.2280014100064172
K Gowtham,8.70588235294117,10,10,0,0,86,148,172.093023255814,1,0.22781082198847685
D Wiese,15.875,13,4,0,0,94,127,135.106382978723,1,0.22780011472472125
C Munro,16.3636363636363,20,8,0,0,144,180,125.0,2,0.2257786167910939
ER Dwivedi,12.0,3,2,0,0,15,24,160.0,0,0.22550190533783285
KK Cooper,9.66666666666666,9,8,0,0,70,116,165.714285714285,1,0.2252919695376914
D Short,17.5714285714285,11,5,0,0,102,123,120.588235294117,2,0.2245955073449852
A Ashish Reddy,12.1739130434782,17,15,0,0,196,280,142.857142857142,2,0.22454715885313956
DB Ravi Teja,15.0,36,9,1,0,325,375,115.384615384615,5,0.22388322805612615
A Flintoff,20.6666666666666,6,2,0,0,57,62,108.771929824561,0,0.2218942879114625
S Sharma,4.0,2,0,0,0,4,8,200.0,0,0.22181254822408314
RS Sodhi,4.0,1,0,0,0,2,4,200.0,0,0.22158765949889017
LPC Silva,13.3333333333333,5,1,0,0,27,40,148.148148148148,0,0.221174644754662
YV Takawale,19.2,27,3,0,0,183,192,104.918032786885,2,0.22108211197845354
MF Maharoof,12.6428571428571,12,9,0,0,124,177,142.74193548387,1,0.22025541648862818
DL Chahar,10.4285714285714,2,6,0,0,46,73,158.695652173913,1,0.21997973479368937
Bipul Sharma,11.0,11,9,0,0,124,187,150.806451612903,1,0.21958623590391294
DJ Hooda,11.8888888888888,26,24,1,0,431,535,124.129930394431,4,0.21919570382854744
CA Pujara,17.7272727272727,51,4,1,0,403,390,96.774193548387,4,0.21911255230999427
S Rutherford,11.7142857142857,2,7,0,0,55,82,149.090909090909,1,0.21768442202772811
J Botha,14.6071428571428,39,5,1,0,364,409,112.362637362637,4,0.21672960890062978
Niraj Patel,20.1666666666666,15,1,1,0,124,121,97.5806451612903,2,0.21619617373828542
C Ingram,15.5833333333333,20,5,0,0,157,187,119.108280254777,2,0.21521043013319663
MR Marsh,16.0714285714285,9,14,0,0,201,225,111.940298507462,3,0.21443251088658272
I Malhotra,7.0,1,0,0,0,4,7,175.0,0,0.21267800966212444
DJG Sammy,14.75,15,18,1,0,251,295,117.529880478087,1,0.2126375753739024
TR Birt,15.0,9,2,0,0,59,75,127.118644067796,0,0.21064441333430628
Sachin Baby,13.7,11,5,0,0,106,137,129.245283018867,1,0.21051082402640436
Ankit Sharma,10.25,11,9,0,0,114,164,143.859649122807,2,0.21049991860725
M Manhas,13.5263157894736,44,10,0,0,486,514,105.761316872427,5,0.21003596687166734
DT Christian,13.1764705882352,22,18,0,0,384,448,116.666666666666,2,0.2091046243905339
Y Gnaneswara Rao,19.0,3,0,0,0,18,19,105.555555555555,0,0.20790702330879818
AP Tare,12.5555555555555,41,11,1,0,285,339,118.947368421052,2,0.20769726840008035
LA Carseldine,16.2,11,0,0,0,71,81,114.084507042253,1,0.20634333344838182
DB Das,13.8181818181818,23,16,0,0,267,304,113.857677902621,2,0.2061937175844212
FY Fazal,16.6363636363636,23,1,0,0,179,183,102.234636871508,3,0.2058241672211794
SP Goswami,15.8421052631578,32,3,1,0,302,301,99.6688741721854,3,0.20455490468441018
Rashid Khan,6.41176470588235,5,9,0,0,67,109,162.686567164179,1,0.20439969536136585
LR Shukla,12.2727272727272,33,16,0,0,358,405,113.128491620111,3,0.20325530144626755
BB Samantray,15.625,13,2,1,0,116,125,107.758620689655,2,0.20209808060936524
AB McDonald,13.6666666666666,9,4,0,0,103,123,119.417475728155,2,0.20205425438418192
VVS Laxman,14.1,34,4,1,0,271,282,104.059040590405,4,0.2019961699532364
MD Mishra,13.9411764705882,26,8,0,0,213,237,111.267605633802,2,0.20133313519176038
SN Thakur,5.14285714285714,5,1,0,0,21,36,171.428571428571,0,0.20060041011966964
P Negi,10.4571428571428,29,16,0,0,301,366,121.594684385382,3,0.20046726456516803
B Chipli,13.3333333333333,29,7,1,0,256,280,109.375,2,0.19842317196062273
W Jaffer,16.25,14,3,0,0,129,130,100.775193798449,2,0.1979401294270673
DAJ Bracewell,12.0,1,0,0,0,9,12,133.333333333333,0,0.19783651092388824
D Salunkhe,11.0,5,0,0,0,24,33,137.5,0,0.19768611955612445
P Sahu,9.5,1,1,0,0,13,19,146.153846153846,0,0.19768306306952688
UBT Chand,15.0,32,9,1,0,314,300,95.5414012738853,3,0.1973651262389129
SD Lad,15.0,1,1,0,0,13,15,115.384615384615,0,0.19622056358071138
RR Sarwan,18.25,6,1,0,0,78,73,93.5897435897435,1,0.1962094922202115
A Joseph,15.0,2,0,0,0,13,15,115.384615384615,0,0.19612942126367114
MC Juneja,17.8571428571428,11,1,0,0,134,125,93.2835820895522,1,0.19573659061271462
MJ Clarke,16.3333333333333,12,0,0,0,96,98,102.083333333333,1,0.19562779728462337
Y Nagar,14.25,20,9,0,0,271,285,105.166051660516,1,0.19508473649155844
PA Reddy,16.4,15,2,0,0,167,164,98.2035928143712,1,0.19454721850426393
M Klinger,18.25,9,0,0,0,78,73,93.5897435897435,0,0.19406424144074524
KMDN Kulasekara,5.0,1,0,0,0,3,5,166.666666666666,0,0.1936193597512423
RE Levi,13.8333333333333,10,4,0,0,74,83,112.162162162162,1,0.1926194955882918
SP Jackson,12.6666666666666,5,0,0,0,31,38,122.58064516129,0,0.1917951660272256
HV Patel,7.2,3,9,0,0,74,108,145.945945945945,1,0.19160103039710688
AA Jhunjhunwala,14.4666666666666,20,5,1,0,218,217,99.5412844036697,2,0.19156186695638194
CM Gautam,13.0,19,6,0,0,158,169,106.962025316455,3,0.19136662519387532
VH Zol,14.5,3,1,0,0,26,29,111.538461538461,0,0.1903064182583108
AS Raut,12.125,13,7,0,0,172,194,112.790697674418,2,0.19009232210705929
P R Barman,20.0,2,0,0,0,25,20,80.0,0,0.18760322796425657
Sunny Singh,8.6,6,1,0,0,31,43,138.709677419354,0,0.18666726100382772
PJ Cummins,8.55555555555555,5,4,0,0,56,77,137.5,0,0.18652160245172716
KJ Abbott,4.33333333333333,0,1,0,0,8,13,162.5,0,0.1861535560093369
S Singh,17.0,1,1,0,0,18,17,94.4444444444444,0,0.1860247115933858
R Tewatia,9.91666666666666,11,3,0,0,93,119,127.956989247311,0,0.18581591002837153
DH Yagnik,10.0,23,2,0,0,142,170,119.718309859154,2,0.18533743025390398
R Sathish,11.25,22,6,0,0,236,270,114.406779661016,0,0.18510464670644428
RJ Quiney,14.7142857142857,13,3,1,0,105,103,98.095238095238,1,0.18500791336035582
BR Dunk,13.3333333333333,7,0,0,0,36,40,111.111111111111,0,0.18423099768262097
NL McCullum,13.0,0,1,0,0,23,26,113.043478260869,0,0.18330382392362635
H Klaasen,11.3333333333333,5,1,0,0,58,68,117.241379310344,1,0.18258432017879545
S Anirudha,11.3333333333333,11,7,1,0,121,136,112.396694214876,1,0.1825801465133283
J Archer,7.72727272727272,6,4,0,0,62,85,137.096774193548,0,0.18201129058777032
Washington Sundar,6.58333333333333,5,4,0,0,56,79,141.071428571428,1,0.18193212354207222
AUK Pathan,5.57142857142857,5,2,0,0,26,39,150.0,0,0.1817730961542003
TG Southee,8.84615384615384,8,4,0,0,91,115,126.373626373626,1,0.18057613475494963
Anirudh Singh,15.75,6,1,0,0,69,63,91.3043478260869,1,0.18034261375762003
Shivam Sharma,2.5,1,0,0,0,3,5,166.666666666666,0,0.18026465889654147
SD Chitnis,12.375,10,1,0,0,92,99,107.608695652173,1,0.17995698223762732
RE van der Merwe,10.6,13,8,0,0,144,159,110.416666666666,2,0.17902773345616388
KV Sharma,9.3235294117647,18,14,0,0,285,317,111.228070175438,2,0.17870423646500289
S Narwal,9.25,6,0,0,0,29,37,127.586206896551,0,0.17866317636105053
M Kaif,11.7727272727272,23,6,0,0,258,259,100.387596899224,2,0.1785969960142767
AB Barath,14.0,5,1,0,0,43,42,97.6744186046511,1,0.176712645911232
P Chopra,8.0,2,0,0,0,6,8,133.333333333333,0,0.17652290411258595
S Dube,10.0,1,3,0,0,33,40,121.212121212121,0,0.17635958433415694
AJ Tye,7.83333333333333,6,4,0,0,72,94,130.555555555555,0,0.1762497648044171
K Goel,13.625,17,9,0,0,239,218,91.2133891213389,1,0.17598307137470937
T Taibu,10.3333333333333,3,0,0,0,26,31,119.230769230769,0,0.1755447772380887
PP Chawla,7.82666666666666,54,18,0,0,541,587,108.502772643253,0,0.17552806687188147
SB Styris,13.1,11,3,0,0,134,131,97.7611940298507,1,0.17537836905013185
S Rana,11.375,9,1,0,0,82,91,110.975609756097,0,0.17530784958629542
DR Martyn,19.0,1,0,0,0,26,19,73.076923076923,0,0.1751828417055237
GH Vihari,13.3333333333333,23,1,0,0,323,280,86.687306501548,3,0.1751015867657305
Harmeet Singh,4.5,3,0,0,0,12,18,150.0,0,0.17484729658305123
M Morkel,6.3,10,5,0,0,93,126,135.483870967741,0,0.17447587130057082
JM Kemp,13.0,1,1,0,0,25,26,104.0,0,0.174411623788024
AB Agarkar,9.94444444444444,13,5,0,0,160,179,111.875,1,0.1743918098534473
GR Napier,15.0,1,0,0,0,16,15,93.75,0,0.17436728072291066
B Akhil,6.9090909090909,5,5,0,0,57,76,133.333333333333,0,0.17377898585501073
MS Gony,6.6,6,8,0,0,76,99,130.263157894736,1,0.1727494030367798
N Saini,11.9166666666666,16,0,0,0,147,143,97.2789115646258,2,0.1712052402949536
R Bhatia,7.27659574468085,24,13,0,0,290,342,117.931034482758,0,0.17089896296938148
R Dhawan,9.5625,14,4,0,0,135,153,113.333333333333,0,0.17078380326748233
A Choudhary,8.33333333333333,1,1,0,0,20,25,125.0,0,0.17044069324014632
R Ashwin,7.64,32,10,0,0,350,382,109.142857142857,2,0.17018397171813782
R Singh,10.4285714285714,5,2,0,0,68,73,107.35294117647,1,0.1682351906546003
DJ Jacobs,13.1428571428571,10,4,0,0,101,92,91.0891089108911,1,0.16815189103166817
JDS Neesham,14.0,3,1,0,0,46,42,91.3043478260869,0,0.16773561070124185
M Lomror,9.33333333333333,3,0,0,0,24,28,116.666666666666,0,0.16757408519451228
AN Ahmed,6.0,4,1,0,0,27,36,133.333333333333,0,0.16697065322851343
R McLaren,12.2307692307692,14,1,1,0,178,159,89.3258426966292,2,0.16636281259381627
K Upadhyay,6.0,0,1,0,0,9,12,133.333333333333,0,0.1658763711896464
S Sriram,15.5,3,0,0,0,38,31,81.578947368421,0,0.1655496776013467
MN Samuels,11.5,9,7,0,0,174,161,92.5287356321839,2,0.16532679083893315
J Suchith,9.0,4,2,0,0,48,54,112.5,1,0.16516455268311975
KAJ Roach,10.0,1,0,0,0,9,10,111.111111111111,0,0.1648937227179424
AR Bawne,12.0,1,0,0,0,12,12,100.0,0,0.16451742937202793
S Gopal,9.35714285714285,14,1,0,0,120,131,109.166666666666,0,0.1643452683453883
Shoaib Malik,10.4,5,0,0,0,49,52,106.122448979591,0,0.1635718555258433
RR Rossouw,10.6,3,3,0,0,51,53,103.921568627451,0,0.1628824589684483
A Mithun,5.66666666666666,4,1,0,0,26,34,130.76923076923,0,0.1625843679899962
B Lee,6.52631578947368,8,8,0,0,102,124,121.56862745098,0,0.16219073358385008
JO Holder,7.6,4,2,0,0,32,38,118.75,0,0.16122780596593175
Joginder Sharma,7.2,1,2,0,0,30,36,120.0,0,0.1598694165287135
R Vinay Kumar,7.4047619047619,21,9,0,0,289,311,107.612456747404,0,0.15933279295031705
SA Abbott,7.5,1,1,0,0,13,15,115.384615384615,0,0.1561564610166088
Sohail Tanvir,7.2,3,1,0,0,31,36,116.129032258064,0,0.15605383400117964
J Searles,4.0,0,1,0,0,6,8,133.333333333333,0,0.15510474812448666
Avesh Khan,4.0,1,0,0,0,3,4,133.333333333333,0,0.15492574342604737
JDP Oram,9.63636363636363,6,5,0,0,110,106,96.3636363636363,1,0.15466135370149106
P Kumar,5.96491228070175,22,17,0,0,323,340,105.263157894736,1,0.15432998004765597
P Dogra,10.5833333333333,4,5,0,0,141,127,90.0709219858156,1,0.15367740831519736
MJ McClenaghan,4.55,6,7,0,0,73,91,124.657534246575,0,0.15346087011411788
PR Shah,10.2222222222222,9,2,0,0,97,92,94.8453608247422,0,0.15334218051727633
MA Khote,8.0,2,1,0,0,22,24,109.090909090909,0,0.15288385102571353
WPUJC Vaas,7.36363636363636,2,2,0,0,73,81,110.958904109589,0,0.1528766182336602
C Madan,15.0,4,0,0,0,21,15,71.4285714285714,0,0.15249493593345764
DM Bravo,6.0,1,0,0,0,5,6,120.0,0,0.15232247726408668
DNT Zoysa,5.5,1,0,0,0,9,11,122.222222222222,0,0.15198477494057344
R Salam,5.0,0,0,0,0,4,5,125.0,0,0.1518156667407824
CJ Ferguson,12.25,9,0,0,0,119,98,82.3529411764705,0,0.15143099757252346
M Kartik,8.07142857142857,7,1,0,0,109,113,103.669724770642,0,0.15060425178617015
MA Starc,8.72727272727272,12,0,0,0,98,96,97.9591836734693,0,0.1485080155441171
DL Vettori,7.5625,12,2,0,0,118,121,102.542372881355,0,0.1478900448527676
RR Powar,7.44444444444444,6,1,0,0,64,67,104.6875,0,0.1470706772740587
R Bishnoi,6.33333333333333,1,2,0,0,17,19,111.764705882352,0,0.14662989001203375
MDKJ Perera,7.0,3,0,0,0,13,14,107.692307692307,0,0.14582544512395695
A Mishra,6.81481481481481,30,5,0,0,410,368,89.7560975609756,2,0.14496841999828788
Iqbal Abdulla,6.76923076923076,9,1,0,0,86,88,102.325581395348,1,0.14435580987547733
VRV Singh,2.0,1,0,0,0,3,4,133.333333333333,0,0.14424198274228667
AD Nath,9.1,7,2,0,0,99,91,91.9191919191919,0,0.14412877944604655
