Player,Team 2014,Base.P 2014,Auction.P 2014
Anureet Singh,Kings XI Punjab,20,20
Shreyas Gopal,Mumbai Indians,10,10
Shadab Jakati,Royal Challengers Bangalore,20,20
Shahbaz Nadeem,Delhi Daredevils[RTM],30,85
Pawan Negi,Chennai Super Kings,10,10
Karn Sharma,Sunrisers Hyderabad,30,375
Yuzvendra Chahal,Royal Challengers Bangalore,10,10
Kuldeep Yadav,Kolkata Knight Riders,10,40
Pravin Tambe,Rajasthan Royals[RTM],10,10
Karun Nair,Rajasthan Royals,10,75
Apoorv Vijay Wankhade,Mumbai Indians[REC],10,10
Amit Paunikar,Sunrisers Hyderabad,20,20
Dishant Yagnik,Rajasthan Royals,30,30
Akshar Patel,Kings XI Punjab,20,75
Jalaj Saxena,Mumbai Indians,20,90
Vijay Shankar,Chennai Super Kings,10,10
Beuran Hendricks,Kings XI Punjab,30,180
Vikramjeet Malik,Rajasthan Royals,20,20
Ronit More,Chennai Super Kings,10,10
Harshal Patel,Royal Challengers Bangalore[RTM],30,40
Veer Pratap Singh,Kolkata Knight Riders,20,40
Ashish Reddy,Sunrisers Hyderabad[REC],20,20
Pawan Suyal,Mumbai Indians,10,10
Sandeep Warrier,Royal Challengers Bangalore,10,10
Ankit Nagendra Sharma,Rajasthan Royals[REC],10,10
Ricky Bhui,Sunrisers Hyderabad[REC],10,10
Rahul Tewatia,Rajasthan Royals[REC],10,10
Jayant Yadav,Delhi Daredevils[REC],10,10
Amit Mishra,Rajasthan Royals[REC],10,10
Sachin Rana,Royal Challengers Bangalore[REC],20,20
HS Sharath,Delhi Daredevils[REC],10,10
Shivam Sharma,Kings XI Punjab[REC],10,10
Deepak Hooda,Rajasthan Royals[REC],10,40
Chama Milind,Sunrisers Hyderabad[REC],10,10
Shardul Thakur,Kings XI Punjab[REC],10,20
Tanmay Mishra,Royal Challengers Bangalore[REC],10,10
Sayan Sekhar Mondal,Kolkata Knight Riders[REC],10,10
Karanveer Singh,Kings XI Punjab[REC],10,10
Milind Kumar,Delhi Daredevils[REC],10,10
