Port Elizabeth,Mumbai Indians,2
Port Elizabeth,Rajasthan Royals,1
Pune,Chennai Super Kings,1
Pune,Deccan Chargers,1
Pune,Delhi Daredevils,3
Pune,Gujarat Lions,1
Pune,Kings XI Punjab,1
Pune,Kolkata Knight Riders,6
Pune,Mumbai Indians,3
Pune,Pune Warriors,4
Pune,Rajasthan Royals,2
Pune,Rising Pune Supergiant,5
Pune,Royal Challengers Bangalore,4
Pune,Sunrisers Hyderabad,1
Raipur,Delhi Daredevils,4
Raipur,Royal Challengers Bangalore,1
Raipur,Sunrisers Hyderabad,1
Rajkot,Delhi Daredevils,1
Rajkot,Gujarat Lions,3
Rajkot,Kings XI Punjab,2
Rajkot,Kolkata Knight Riders,1
Rajkot,Mumbai Indians,1
Rajkot,Royal Challengers Bangalore,1
Rajkot,Sunrisers Hyderabad,1
Ranchi,Chennai Super Kings,3
Ranchi,Kolkata Knight Riders,1
Ranchi,Pune Warriors,1
Ranchi,Royal Challengers Bangalore,1
Ranchi,Sunrisers Hyderabad,1
Sharjah,Chennai Super Kings,1
Sharjah,Delhi Daredevils,1
Sharjah,Kings XI Punjab,2
Sharjah,Kolkata Knight Riders,1
Sharjah,Royal Challengers Bangalore,1
Visakhapatnam,Chennai Super Kings,1
Visakhapatnam,Delhi Daredevils,1
Visakhapatnam,Kings XI Punjab,1
Visakhapatnam,Mumbai Indians,2
Visakhapatnam,Rajasthan Royals,1
Visakhapatnam,Rising Pune Supergiants,2
Visakhapatnam,Sunrisers Hyderabad,3
