batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values
I Sodhi,5.0,0,1,0,0,18,10,55.5555555555555,0,0.0643803438618955
N Saini,1.5,0,0,0,0,4,3,75.0,0,0.06274154777705158
BB Sran,1.75,0,0,0,0,10,7,70.0,0,0.06047135832598578
M Wood,3.0,0,0,0,0,5,3,60.0,0,0.0577043047398117
J Suchith,6.0,0,0,0,0,15,6,40.0,0,0.05554622415852242
Basil Thampi,2.0,0,0,0,0,7,4,57.1428571428571,0,0.05155841145284461
R Bhui,4.0,0,0,0,0,18,8,44.4444444444444,0,0.05085054942381938
M Ashwin,1.0,0,0,0,0,7,4,57.1428571428571,0,0.047431863997548875
H Vihari,2.0,0,0,0,0,8,4,50.0,0,0.04622420437551829
NV Ojha,2.0,0,0,0,0,4,2,50.0,0,0.04597718175314665
VR Aaron,3.0,0,0,0,0,7,3,42.8571428571428,0,0.04489303344230181
YS Chahal,1.75,0,0,0,0,20,7,35.0,0,0.03445071612415089
A Turner,1.0,0,0,0,0,11,4,36.3636363636363,0,0.03193919153239931
Mustafizur Rahman,1.0,0,0,0,0,3,1,33.3333333333333,0,0.02925005876648156
L Plunkett,0.5,0,0,0,0,3,1,33.3333333333333,0,0.027186785038833695
B Laughlin,0.5,0,0,0,0,4,1,25.0,0,0.020959720818650225
H Gurney,1.0,0,0,0,0,5,1,20.0,0,0.019295930326114603
PJ Sangwan,1.0,0,0,0,0,5,1,20.0,0,0.019295930326114603
S Kaul,0.75,0,0,0,0,15,3,20.0,0,0.018648930763561396
P Krishna,0.5,0,0,0,0,7,1,14.2857142857142,0,0.012992813872385406
Sandeep Sharma,0.0,0,0,0,0,4,0,0.0,0,6.880733944954129e-05
J Denly,0.0,0,0,0,0,1,0,0.0,0,0.0
S Lamichhane,0.0,0,0,0,0,1,0,0.0,0,0.0
P Raj,0.0,0,0,0,0,1,0,0.0,0,0.0
K Ahmed,0.0,0,0,0,0,1,0,0.0,0,0.0
