,bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,av.eco,over
272,SR Tendulkar,,9.833333333333334,,,,,,,,,9.833333333333334,6
273,A Symonds,15.142857142857142,6.75,7.264150943396227,10.25,,,,,,,9.851752021563343,88
274,S Ladda,,,9.6,10.5,,9.0,,,10.5,,9.9,23
275,R Sathish,,,10.125,6.833333333333333,,13.0,,,9.833333333333334,,9.947916666666666,24
276,D Salunkhe,10.0,,,,,,,,,,10.0,8
277,FY Fazal,,,10.0,,,,,,,,10.0,2
278,KAJ Roach,,,10.0,,,,,,,,10.0,8
279,Joginder Sharma,9.64,8.142857142857142,11.125,11.333333333333334,,,,,,,10.060297619047619,43
280,S Narwal,,,11.625,,,8.5,,,,,10.0625,18
281,Jaskaran Singh,,10.666666666666666,9.466666666666667,,,,,,,,10.066666666666666,18
282,Pankaj Singh,10.75,9.285714285714286,10.375,12.0,8.142857142857142,,,,,,10.110714285714286,50
283,Gagandeep Singh,10.142857142857142,,,,,,,,,,10.142857142857142,14
284,KA Pollard,,,7.45945945945946,8.534883720930232,8.0,9.419354838709678,10.192307692307692,9.307692307692308,13.666666666666666,15.0,10.197545585720755,202
285,PJ Sangwan,9.208333333333334,7.957446808510638,8.387096774193548,,10.5,13.0,,,12.25,10.166666666666666,10.20993479752917,132
286,AA Noffke,10.25,,,,,,,,,,10.25,4
287,B Laughlin,,,,,,10.285714285714286,,,,,10.285714285714286,7
288,D Wiese,,,,,,,,8.372093023255815,12.25,,10.311046511627907,47
289,Y Venugopal Rao,9.785714285714286,8.2,10.0,13.0,13.0,,8.0,,,,10.33095238095238,36
290,SD Chitnis,10.333333333333334,,,,,,,,,,10.333333333333334,6
291,A Nel,10.333333333333334,,,,,,,,,,10.333333333333334,3
292,AP Dole,,,10.363636363636363,,,,,,,,10.363636363636363,11
293,MA Khote,10.4,,,,,,,,,,10.4,5
294,MS Gony,7.6,10.176470588235293,11.5,9.555555555555555,9.041666666666666,9.321428571428571,,,,16.0,10.456445911698012,148
295,NLTC Perera,,,19.0,8.142857142857142,9.0,8.032786885245901,,9.166666666666666,9.588235294117647,,10.488424331481225,119
296,SS Agarwal,,,,,,,,,,10.5,10.5,4
297,AA Kazi,,,,10.5,,,,,,,10.5,2
298,RG More,,,,,,,,10.5,,,10.5,6
299,AF Milne,,,,,,,,,11.0,10.071428571428571,10.535714285714285,18
300,VRV Singh,8.854166666666666,9.222222222222221,13.666666666666666,,,,,,,,10.581018518518517,60
301,SN Thakur,,,,,,,,13.0,,8.179487179487179,10.58974358974359,42
302,KC Cariappa,,,,,,,,14.0,9.411764705882353,8.466666666666667,10.626143790849675,34
303,R McLaren,,,8.264705882352942,10.11111111111111,,13.571428571428571,,,,,10.649081854964209,59
304,JDS Neesham,,,,,,,10.666666666666666,,,,10.666666666666666,9
305,Y Nagar,,10.0,9.333333333333334,13.4,10.0,,,,,,10.683333333333334,11
306,A Mithun,,10.5,13.0,9.558823529411764,11.333333333333334,9.25,,,,,10.728431372549021,48
307,GS Sandhu,,,,,,,,10.75,,,10.75,8
308,Kamran Khan,,7.7894736842105265,8.833333333333334,15.666666666666666,,,,,,,10.763157894736842,28
309,R Shukla,,,,,10.666666666666666,10.0,11.666666666666666,,,,10.777777777777777,20
310,R Ninan,,,,10.833333333333334,,,,,,,10.833333333333334,6
311,P Amarnath,10.954545454545455,,,,,,,,,,10.954545454545455,22
312,RA Shaikh,,11.0,,,,,,,,,11.0,1
313,RW Price,,,,11.0,,,,,,,11.0,3
314,D Kalyankrishna,11.0,,,,,,,,,,11.0,8
315,MB Parmar,,,11.0,,,,,,,,11.0,3
316,S Vidyut,11.0,,,,,,,,,,11.0,2
317,LJ Wright,,,,,12.0,10.1,,,,,11.05,12
318,AUK Pathan,,,,8.166666666666666,14.0,,,,,,11.083333333333332,7
319,Shivam Sharma,,,,,,,7.5625,14.666666666666666,,,11.114583333333332,19
320,L Ablish,,,9.25,13.0,,,,,,,11.125,7
321,A Uniyal,,,11.166666666666666,,,,,,,,11.166666666666666,6
322,JJ van der Wath,,,,11.166666666666666,,,,,,,11.166666666666666,12
323,LMP Simmons,,,,,,,11.333333333333334,,,,11.333333333333334,3
324,KJ Abbott,,,,,,,,,11.375,,11.375,16
325,B Geeves,11.375,,,,,,,,,,11.375,8
326,K Santokie,,,,,,,11.375,,,,11.375,8
327,SA Abbott,,,,,,,,11.4,,,11.4,5
328,TP Sudhindra,,,,,11.416666666666666,,,,,,11.416666666666666,12
329,BB Sran,,,,,,,,12.0,8.4,14.5,11.633333333333333,55
330,PC Valthaty,,,,7.64,16.0,,,,,,11.82,26
331,MK Tiwary,,11.0,11.0,11.5,,,14.0,,,,11.875,6
332,RA Tripathi,,,,,,,,,,12.0,12.0,1
333,RR Bose,,12.0,,,,,,,,,12.0,2
334,LRPL Taylor,,13.0,,11.0,,,,,,,12.0,2
335,BJ Rohrer,,,,,,12.0,,,,,12.0,1
336,J Suchith,,,,,,,,8.666666666666666,15.5,,12.083333333333332,41
337,SB Wagh,,,16.0,8.1875,,,,,,,12.09375,17
338,VS Yeligati,12.2,,,,,,,,,,12.2,5
339,V Sehwag,12.181818181818182,25.0,3.8333333333333335,,11.25,9.0,,,,,12.253030303030304,23
340,C Ganapathy,,,13.0,,,,,,,,13.0,1
341,MJ Henry,,,,,,,,,,14.2,14.2,5
342,Abdur Razzak,14.5,,,,,,,,,,14.5,2
343,Mashrafe Mortaza,,14.75,,,,,,,,,14.75,4
344,CL White,24.0,,19.0,,9.0,8.0,,,,,15.0,7
345,MG Neser,,,,,,15.5,,,,,15.5,4
346,Sunny Gupta,,,,,15.666666666666666,,,,,,15.666666666666666,3
347,F du Plessis,,,,,16.0,,,,,,16.0,1
348,CK Kapugedera,16.333333333333332,,,,,,,,,,16.333333333333332,3
349,RR Bhatkal,,,,,17.5,,,,,,17.5,2
350,P Prasanth,,,,18.0,,,,,,,18.0,1
351,S Sriram,,,12.0,25.0,,,,,,,18.5,3
352,V Shankar,,,,,,,19.0,,,,19.0,1
353,B Chipli,,,,20.0,,,,,,,20.0,1
354,LPC Silva,21.0,,,,,,,,,,21.0,1
355,I Malhotra,,,,23.0,,,,,,,23.0,1
