,bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,av.eco,over
146,YS Chahal,,,,,,8.75,7.072727272727272,8.666666666666666,8.18,7.9772727272727275,8.129333333333333,201
147,L Balaji,8.878787878787879,8.205128205128204,8.916666666666666,8.511111111111111,5.633333333333334,7.823529411764706,8.970588235294118,,,,8.13416354886943,256
148,P Negi,,,,,6.954545454545454,7.0,10.857142857142858,8.633333333333333,9.333333333333334,6.121212121212121,8.149927849927849,105
149,R Dhawan,,,,,,7.666666666666667,7.770833333333333,9.25,8.0,,8.171875,82
150,STR Binny,,,9.0,11.0,7.8,6.791666666666667,7.222222222222222,7.526315789473684,7.882352941176471,8.333333333333334,8.194486369109047,90
151,SB Joshi,8.2,,,,,,,,,,8.2,10
152,RP Singh,8.826923076923077,7.049180327868853,9.166666666666666,7.3,8.0,8.4,,,8.76923076923077,,8.216000120098482,299
153,DJ Bravo,8.241379310344827,7.794117647058823,8.555555555555555,7.95,8.137931034482758,8.015873015873016,,8.185185185185185,8.964285714285714,,8.230540932848236,341
154,AM Salvi,,8.117647058823529,,8.375,,,,,,,8.246323529411764,25
155,Tejas Baroka,,,,,,,,,,8.25,8.25,4
156,Anand Rajan,,,,10.0,9.416666666666666,5.375,,,,,8.263888888888888,25
157,RR Powar,7.75,6.571428571428571,7.086956521739131,9.333333333333334,10.666666666666666,,,,,,8.281677018633541,71
158,DS Kulkarni,8.066666666666666,8.038461538461538,10.0,7.8,8.0,8.052631578947368,8.37037037037037,8.285714285714286,7.448979591836735,9.105263157894736,8.31680871898917,237
159,S Sreesanth,8.673076923076923,8.521739130434783,10.052631578947368,6.625,,7.7727272727272725,,,,,8.329034981037271,148
160,JE Taylor,,,,8.35,,,,,,,8.35,20
161,JD Ryder,,7.117647058823529,,7.4375,10.571428571428571,,,,,,8.375525210084033,40
162,DT Christian,,,,7.760869565217392,8.88888888888889,9.333333333333334,,,,7.575,8.389522946859904,119
163,PM Sarvesh Kumar,8.4,,,,,,,,,,8.4,5
164,MG Johnson,,,,,,7.359375,8.181818181818182,9.35135135135135,9.818181818181818,7.35,8.41214527027027,187
165,RD Chahar,,,,,,,,,,8.428571428571429,8.428571428571429,7
166,P Sahu,,,,,,,,,8.444444444444445,,8.444444444444445,18
167,AC Voges,,,8.444444444444445,,,,,,,,8.444444444444445,9
168,IK Pathan,6.685185185185185,7.803921568627451,9.0625,7.673913043478261,7.95,7.519230769230769,8.708333333333334,,7.625,13.0,8.447564877761668,345
169,M Ashwin,,,,,,,,,8.448275862068966,,8.448275862068966,29
170,Imran Tahir,,,,,,,8.380952380952381,8.75,8.8125,7.872340425531915,8.453948201621074,120
171,Kuldeep Yadav,,,,,,,,,8.5,8.414634146341463,8.457317073170731,53
172,A Choudhary,,,,,,,,,,8.470588235294118,8.470588235294118,17
173,P Parameswaran,,,,8.058823529411764,8.9,,,,,,8.479411764705883,27
174,R Vinay Kumar,7.956521739130435,8.272727272727273,8.595744680851064,7.666666666666667,8.714285714285714,8.419354838709678,9.1875,8.431818181818182,7.222222222222222,10.333333333333334,8.480017464974457,354
175,Harmeet Singh (2),,,,,,8.5,,,,,8.5,4
176,MC Henriques,,8.23076923076923,8.75,,,8.5,9.6,6.56,8.038461538461538,9.92,8.514175824175824,151
177,CJ McKay,,,,,8.571428571428571,,,,,,8.571428571428571,7
178,SW Tait,,,8.5625,9.133333333333333,6.416666666666667,10.3,,,,,8.603125,81
179,Umar Gul,8.608695652173912,,,,,,,,,,8.608695652173912,23
180,AS Raut,,9.25,,8.0,,,,,,,8.625,5
181,TG Southee,,,,8.789473684210526,,,7.8,9.107142857142858,7.744186046511628,9.7,8.628160517573003,110
182,PJ Cummins,,,,,,,7.25,10.3,,8.361702127659575,8.63723404255319,61
183,JP Faulkner,,,,5.0,9.25,6.8125,9.977777777777778,9.622222222222222,9.882352941176471,9.964285714285714,8.644162665066027,209
184,DJ Harris,,,,,8.666666666666666,,,,,,8.666666666666666,3
185,VR Aaron,,,,6.916666666666667,8.71875,,8.35135135135135,10.0,9.541666666666666,8.5,8.67140578078078,143
186,AB McDonald,,7.333333333333333,9.857142857142858,11.5,6.3,8.5,,,,,8.698095238095238,31
187,JEC Franklin,,,,9.0,8.4,,,,,,8.7,26
188,DJ Hooda,,,,,,,,8.1875,7.461538461538462,10.5,8.716346153846153,33
189,P Awana,,,,,8.127659574468085,7.703703703703703,10.333333333333334,,,,8.721565537168374,125
190,TS Mills,,,,,,,,,,8.722222222222221,8.722222222222221,18
191,SB Jakati,,7.758620689655173,7.894736842105263,7.511111111111111,8.21951219512195,,10.25,,9.05,10.4,8.726282976856215,182
192,KW Richardson,,,,,,8.583333333333334,7.7407407407407405,,9.857142857142858,,8.727072310405644,53
193,MJ McClenaghan,,,,,,,,8.404255319148936,8.314814814814815,9.481481481481481,8.733517205148411,155
194,Ankit Sharma,,,,,6.68,8.5,5.5,8.142857142857142,7.636363636363637,16.0,8.743203463203463,61
195,B Stanlake,,,,,,,,,,8.75,8.75,8
196,RJ Peterson,,,,,8.75,,,,,,8.75,8
197,UT Yadav,,,8.0,9.555555555555555,7.524590163934426,9.033898305084746,8.466666666666667,9.214285714285714,9.461538461538462,8.816326530612244,8.759107674709728,324
198,AB Dinda,6.82051282051282,8.125,6.458333333333333,8.833333333333334,7.125,9.510204081632653,8.741935483870968,12.6,7.612903225806452,12.1,8.792722227848955,255
199,S Tyagi,,7.526315789473684,10.0625,,,,,,,,8.794407894736842,35
200,SC Ganguly,6.6,8.166666666666666,10.75,,9.7,,,,,,8.804166666666667,46
201,V Pratap Singh,,,,,8.823529411764707,,,,,,8.823529411764707,34
202,JA Morkel,8.625,8.25,8.541666666666666,8.666666666666666,7.84,6.958333333333333,7.9375,9.416666666666666,13.2,,8.826203703703705,288
203,AS Rajpoot,,,,,,9.25,,,9.181818181818182,8.071428571428571,8.834415584415583,29
