batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values
DA Warner,48.0322580645161,150,56,14,1,1041,1489,143.035542747358,21,0.8936424354723684
V Kohli,49.2692307692307,107,48,15,4,912,1281,140.460526315789,16,0.8089721164673576
AB de Villiers,36.12,71,53,8,1,586,903,154.095563139931,10,0.6391389008465561
G Gambhir,32.2258064516129,118,13,9,0,829,999,120.506634499396,14,0.6020589747447886
S Dhawan,31.6129032258064,104,17,7,0,821,980,119.366626065773,14,0.5879881734668118
AM Rahane,28.7333333333333,89,18,8,0,715,862,120.55944055944,14,0.5618641640687763
RV Uthappa,27.9285714285714,84,29,8,0,539,782,145.08348794063,11,0.5618169461801616
SPD Smith,33.7272727272727,66,20,4,1,584,742,127.054794520547,12,0.5442875735697988
SK Raina,29.0,80,23,6,0,631,841,133.280507131537,11,0.5436367368663355
RG Sharma,27.4,82,26,8,0,650,822,126.461538461538,11,0.5389859259542454
AJ Finch,27.72,72,30,5,0,501,693,138.323353293413,10,0.523575541832042
BB McCullum,24.9629629629629,67,34,3,0,500,674,134.8,12,0.5178489495428488
HM Amla,36.0625,60,21,5,2,418,577,138.038277511961,6,0.5038753871090685
KD Karthik,24.8571428571428,67,14,4,0,541,696,128.650646950092,12,0.4895369910203758
DR Smith,24.4782608695652,66,24,5,0,384,563,146.614583333333,9,0.48542206233458995
RR Pant,23.5,47,30,3,0,381,564,148.031496062992,10,0.48242627319824827
MK Pandey,28.0,44,21,3,0,505,644,127.524752475247,10,0.47749226319892457
Q de Kock,34.2307692307692,53,13,4,1,340,445,130.882352941176,7,0.46757262803175664
KL Rahul,33.0833333333333,37,16,4,0,277,397,143.321299638989,7,0.4666604753118283
SV Samson,24.1785714285714,52,27,4,1,540,677,125.37037037037,9,0.4654804020446625
GJ Maxwell,21.2608695652173,35,34,2,0,315,489,155.238095238095,9,0.45993213419363266
CA Lynn,35.5555555555555,25,20,2,0,198,320,161.616161616161,4,0.45909227009326886
KK Nair,25.52,79,12,4,0,533,638,119.699812382739,9,0.45686831986910437
KH Pandya,25.2631578947368,46,20,1,0,313,480,153.354632587859,7,0.44385330857669775
KA Pollard,21.5357142857142,39,39,3,0,450,603,134.0,7,0.44371084213476997
M Vijay,32.3571428571428,52,10,5,0,373,453,121.447721179624,6,0.4393729488218628
RA Tripathi,27.9285714285714,45,17,2,0,275,391,142.181818181818,7,0.43751471397616054
PA Patel,22.0,74,12,3,0,469,572,121.961620469083,9,0.42993403201709396
N Rana,29.1333333333333,30,25,3,0,355,437,123.098591549295,6,0.4257855290788634
SE Marsh,30.2142857142857,49,8,3,0,332,423,127.409638554216,6,0.42123904104729565
Yuvraj Singh,23.2380952380952,51,21,2,0,371,488,131.536388140161,7,0.419026401523932
CH Gayle,22.4736842105263,32,35,3,0,331,427,129.003021148036,6,0.4115793000582752
JC Buttler,22.0,50,26,1,0,375,528,140.799999999999,5,0.41115293346790105
YK Pathan,21.0,43,19,4,0,379,504,132.981530343007,7,0.41043480108703506
MS Dhoni,21.2592592592592,34,30,2,0,481,574,119.334719334719,7,0.4073568973951731
CH Morris,23.2666666666666,30,18,2,0,211,349,165.402843601895,4,0.4028126753633178
KS Williamson,29.2307692307692,35,10,2,0,296,380,128.378378378378,5,0.39748011341546985
BA Stokes,28.7272727272727,22,15,1,1,227,316,139.207048458149,4,0.3891939945898155
AT Rayudu,25.0,35,15,3,0,364,425,116.758241758241,6,0.38649340891100264
M Vohra,24.375,42,12,2,0,306,390,127.450980392156,5,0.3788899895668561
MK Tiwary,24.9230769230769,31,11,2,0,242,324,133.884297520661,5,0.37606129981036945
WP Saha,21.9130434782608,48,9,3,0,408,504,123.529411764705,5,0.3741291053072768
F du Plessis,30.5714285714285,19,9,2,0,176,214,121.590909090909,4,0.36564371762863995
MC Henriques,17.6538461538461,43,10,3,0,367,459,125.068119891008,6,0.35776595922540666
Ishan Kishan,21.2666666666666,34,13,1,0,255,319,125.098039215686,5,0.3488536802503931
SS Iyer,20.4444444444444,38,11,1,0,295,368,124.745762711864,5,0.34768561189525954
AD Russell,23.5,11,15,0,0,125,188,150.4,3,0.3466997464734383
KM Jadhav,19.3125,26,12,1,0,227,309,136.123348017621,4,0.33562998769331615
SS Tiwary,27.75,26,4,3,0,195,222,113.846153846153,3,0.3354975174337377
SN Khan,16.5,7,4,0,0,31,66,212.903225806451,1,0.33427225201655736
DL Chahar,14.0,0,2,0,0,6,14,233.333333333333,0,0.32475320498201415
SP Narine,13.5882352941176,34,10,1,0,149,231,155.033557046979,4,0.3214280998194973
TM Head,20.5,12,8,1,0,151,205,135.761589403973,4,0.3204647204325645
SW Billings,22.6,24,5,2,0,173,226,130.635838150289,2,0.3156346202766985
AR Patel,14.695652173913,15,19,0,0,252,338,134.126984126984,4,0.3130344498154405
BCJ Cutting,16.5714285714285,9,9,0,0,64,116,181.25,1,0.3124095238849959
JP Duminy,23.875,13,3,0,0,157,191,121.656050955414,3,0.3035509020614665
MJ Guptill,18.9,21,7,0,0,143,189,132.167832167832,3,0.29852316850348465
V Shankar,25.25,12,1,1,0,77,101,131.168831168831,1,0.29614925586523116
AJ Tye,17.6666666666666,4,3,0,0,30,53,176.666666666666,0,0.28906420727555293
R Dhawan,7.0,0,1,0,0,6,14,233.333333333333,0,0.2878947935846683
MP Stoinis,20.375,15,4,1,0,136,163,119.85294117647,3,0.2872477520967893
SA Yadav,15.9444444444444,26,8,1,0,237,287,121.097046413502,3,0.2872265579043302
NLTC Perera,15.0,7,11,0,0,97,150,154.639175257731,1,0.28052084316994375
UT Khawaja,21.1666666666666,14,3,0,0,105,127,120.95238095238,2,0.2756848357759752
JA Morkel,16.0,0,2,0,0,9,16,177.777777777777,0,0.2755697277240805
JJ Roy,19.6666666666666,9,1,0,0,41,59,143.90243902439,1,0.2731153498903136
CR Brathwaite,11.875,8,8,0,0,56,95,169.642857142857,1,0.272739391202446
LMP Simmons,18.125,10,9,2,0,124,145,116.935483870967,2,0.27022374224954276
SL Malinga,3.5,0,1,0,0,3,7,233.333333333333,0,0.2696074242648616
HH Pandya,11.76,15,20,0,0,238,294,123.529411764705,2,0.2677561312248146
A Ashish Reddy,15.6666666666666,2,4,0,0,30,47,156.666666666666,1,0.2659950735056063
Gurkeerat Singh,18.8333333333333,11,3,1,0,87,113,129.885057471264,1,0.2653913746311991
Mandeep Singh,18.8,22,4,1,0,178,188,105.617977528089,2,0.26141944496890024
EJG Morgan,18.8,14,6,1,0,167,188,112.574850299401,1,0.25876884161948177
C de Grandhomme,14.0,10,6,0,0,92,126,136.95652173913,2,0.2581680082999912
SR Watson,11.3636363636363,20,13,0,0,215,250,116.279069767441,3,0.2562758123465947
RA Jadeja,13.96,27,8,0,0,307,349,113.680781758957,1,0.254745001564846
DA Miller,14.3529411764705,14,7,0,0,221,244,110.407239819004,3,0.2538294946355866
Sachin Baby,14.8888888888888,11,5,0,0,99,134,135.353535353535,1,0.25222206248966783
Bipul Sharma,11.7142857142857,3,6,0,0,50,82,164.0,0,0.25113952891529384
KP Pietersen,18.25,4,3,0,0,61,73,119.672131147541,1,0.24146932640742602
P Negi,12.5625,13,10,0,0,177,201,113.559322033898,2,0.2393341696610612
ER Dwivedi,12.0,3,2,0,0,15,24,160.0,0,0.23837812338219455
R Tewatia,9.5,4,0,0,0,11,19,172.727272727272,0,0.23673779464726696
Ankit Sharma,14.0,2,1,0,0,19,28,147.368421052631,0,0.23349888445100186
DJ Hooda,10.5714285714285,13,9,0,0,178,222,124.719101123595,1,0.23270691820738
CJ Anderson,12.9090909090909,8,9,0,0,130,142,109.230769230769,2,0.2277495697890244
DT Christian,8.77777777777777,5,5,0,0,52,79,151.923076923076,0,0.222797353303068
NV Ojha,11.9444444444444,9,8,0,0,212,215,101.415094339622,2,0.22012111768759765
Iqbal Abdulla,14.0,4,1,0,0,34,42,123.529411764705,1,0.2187572072364255
Shakib Al Hasan,14.375,7,5,1,0,109,115,105.504587155963,1,0.21788310855038584
TG Southee,7.4,1,3,0,0,23,37,160.869565217391,0,0.2173348617083195
AD Mathews,16.0,2,1,0,0,28,32,114.285714285714,1,0.21721459098787588
PJ Cummins,9.625,5,4,0,0,54,77,142.592592592592,0,0.21566420509478587
STR Binny,11.75,11,7,0,0,118,141,119.491525423728,0,0.2142424665009003
Anureet Singh,15.0,2,0,0,0,12,15,125.0,0,0.21225990957649105
P Sahu,9.5,1,1,0,0,13,19,146.153846153846,0,0.2081440134284863
GJ Bailey,16.8,9,2,0,0,99,84,84.8484848484848,2,0.20800240655149072
JP Faulkner,11.9090909090909,11,0,0,0,120,131,109.166666666666,1,0.20255066912667957
SP Jackson,12.6666666666666,5,0,0,0,31,38,122.58064516129,0,0.20123808057844292
KJ Abbott,4.33333333333333,0,1,0,0,8,13,162.5,0,0.19844214331473795
K Rabada,18.3333333333333,5,1,0,0,68,55,80.8823529411764,1,0.1970788754380417
R Bhatia,8.33333333333333,1,3,0,0,37,50,135.135135135135,0,0.19564044141634046
DS Kulkarni,4.66666666666666,3,0,0,0,18,28,155.555555555555,0,0.19405346354796663
B Kumar,4.7,6,1,0,0,32,47,146.875,0,0.1893065476644175
KV Sharma,9.44444444444444,8,3,0,0,76,85,111.842105263157,0,0.182922151006914
A Choudhary,8.33333333333333,1,1,0,0,20,25,125.0,0,0.18009689437111456
DJ Bravo,8.25,11,1,0,0,88,99,112.5,0,0.17755866117637573
Mohammed Shami,4.75,4,2,0,0,28,38,135.714285714285,0,0.17726027767407043
IR Jaggi,16.5,3,0,0,0,40,33,82.5,0,0.17658276305711068
RD Chahar,3.0,0,0,0,0,2,3,150.0,0,0.1761574764207929
MJ McClenaghan,5.55555555555555,2,4,0,0,39,50,128.205128205128,0,0.17599829010000873
Harbhajan Singh,7.71428571428571,11,3,0,0,108,108,100.0,1,0.1736865514882428
Parvez Rasool,10.0,1,0,0,0,9,10,111.111111111111,0,0.1711146649923859
AR Bawne,12.0,1,0,0,0,12,12,100.0,0,0.16955023535350053
MM Sharma,6.91666666666666,7,2,0,0,78,83,106.410256410256,0,0.16234081949885246
DM Bravo,6.0,1,0,0,0,5,6,120.0,0,0.15999627152290422
D Wiese,5.0,0,0,0,0,4,5,125.0,0,0.15969286363172425
C Munro,10.0,4,0,0,0,31,30,96.774193548387,0,0.15901994215707074
MA Agarwal,8.83333333333333,6,1,0,0,55,53,96.3636363636363,0,0.1570056902006432
R Ashwin,6.83333333333333,3,1,0,0,38,41,107.894736842105,0,0.1565792860059178
Rashid Khan,3.66666666666666,0,1,0,0,9,11,122.222222222222,0,0.1517895199701767
R Sathish,8.0,1,1,0,0,24,24,100.0,0,0.15162955705780842
R Vinay Kumar,6.5,0,1,0,0,12,13,108.333333333333,0,0.15147736719832208
Kuldeep Yadav,10.0,2,0,0,0,22,20,90.9090909090909,0,0.1508912350196276
JO Holder,5.5,2,1,0,0,20,22,110.0,0,0.1499471993310541
JJ Bumrah,6.0,1,1,0,0,23,24,104.347826086956,0,0.14612038975801334
