batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
CR Brathwaite,11.875,8,8,0,0,56,95,169.64285714285714,1
HH Pandya,11.76,15,20,0,0,238,294,123.52941176470587,2
STR Binny,11.75,11,7,0,0,118,141,119.49152542372879,0
Bipul Sharma,11.714285714285715,3,6,0,0,50,82,164.0,0
NS Naik,11.5,1,0,0,0,33,23,69.6969696969697,0
SR Watson,11.363636363636365,20,13,0,0,215,250,116.27906976744188,3
DJ Hooda,10.571428571428571,13,9,0,0,178,222,124.71910112359551,1
Kuldeep Yadav,10.0,2,0,0,0,22,20,90.9090909090909,0
C Munro,10.0,4,0,0,0,31,30,96.77419354838709,0
Parvez Rasool,10.0,1,0,0,0,9,10,111.11111111111113,0
PJ Cummins,9.625,5,4,0,0,54,77,142.5925925925926,0
R Tewatia,9.5,4,0,0,0,11,19,172.72727272727272,0
P Sahu,9.5,1,1,0,0,13,19,146.15384615384613,0
KV Sharma,9.444444444444443,8,3,0,0,76,85,111.8421052631579,0
MA Agarwal,8.833333333333334,6,1,0,0,55,53,96.36363636363636,0
DT Christian,8.777777777777779,5,5,0,0,52,79,151.9230769230769,0
A Choudhary,8.333333333333334,1,1,0,0,20,25,125.0,0
R Bhatia,8.333333333333334,1,3,0,0,37,50,135.13513513513513,0
DJ Bravo,8.25,11,1,0,0,88,99,112.5,0
R Sathish,8.0,1,1,0,0,24,24,100.0,0
Harbhajan Singh,7.7142857142857135,11,3,0,0,108,108,100.0,1
TG Southee,7.4,1,3,0,0,23,37,160.8695652173913,0
MN Samuels,7.25,1,2,0,0,32,29,90.625,0
PP Chawla,7.25,4,0,0,0,32,29,90.625,0
R Dhawan,7.0,0,1,0,0,6,14,233.33333333333331,0
AB Dinda,7.0,1,0,0,0,8,7,87.5,0
MR Marsh,7.0,0,0,0,0,11,7,63.63636363636363,0
PV Tambe,7.0,1,0,0,0,19,7,36.84210526315789,0
MM Sharma,6.916666666666668,7,2,0,0,78,83,106.41025641025641,0
R Ashwin,6.833333333333332,3,1,0,0,38,41,107.89473684210527,0
A Mishra,6.625,2,2,0,0,70,53,75.71428571428571,0
CR Woakes,6.571428571428571,4,1,0,0,47,46,97.87234042553192,0
R Vinay Kumar,6.5,0,1,0,0,12,13,108.33333333333331,0
Vishnu Vinod,6.333333333333332,1,1,0,0,26,19,73.07692307692307,0
MG Johnson,6.25,1,1,0,0,31,25,80.64516129032258,0
DM Bravo,6.0,1,0,0,0,5,6,120.0,0
PSP Handscomb,6.0,0,0,0,0,12,6,50.0,0
JJ Bumrah,6.0,1,1,0,0,23,24,104.34782608695652,0
Basil Thampi,5.6,1,1,0,0,30,28,93.33333333333331,0
MJ McClenaghan,5.5555555555555545,2,4,0,0,39,50,128.2051282051282,0
JO Holder,5.5,2,1,0,0,20,22,110.0,0
S Aravind,5.333333333333333,2,0,0,0,40,32,80.0,0
AP Tare,5.2,5,0,0,0,40,26,65.0,0
D Wiese,5.0,0,0,0,0,4,5,125.0,0
TA Boult,5.0,0,0,0,0,8,5,62.5,0
AD Nath,5.0,1,0,0,0,28,20,71.42857142857143,0
Mohammed Shami,4.75,4,2,0,0,28,38,135.71428571428572,0
B Kumar,4.7,6,1,0,0,32,47,146.875,0
DS Kulkarni,4.666666666666667,3,0,0,0,18,28,155.55555555555554,0
F Behardien,4.666666666666667,2,0,0,0,13,14,107.69230769230771,0
NM Coulter-Nile,4.6,1,2,0,0,27,23,85.18518518518519,0
KJ Abbott,4.333333333333333,0,1,0,0,8,13,162.5,0
P Kumar,4.0,3,0,0,0,36,32,88.8888888888889,0
AS Rajpoot,4.0,1,0,0,0,7,4,57.14285714285714,0
Swapnil Singh,4.0,0,0,0,0,20,12,60.0,0
KC Cariappa,3.75,0,1,0,0,18,15,83.33333333333334,0
Rashid Khan,3.6666666666666665,0,1,0,0,9,11,122.22222222222223,0
SL Malinga,3.5,0,1,0,0,3,7,233.33333333333331,0
IK Pathan,3.25,0,0,0,0,17,13,76.47058823529412,0
UT Yadav,3.1666666666666665,0,1,0,0,19,19,100.0,0
RD Chahar,3.0,0,0,0,0,2,3,150.0,0
J Yadav,3.0,0,0,0,0,12,6,50.0,0
I Sharma,2.6666666666666665,1,0,0,0,13,8,61.53846153846154,0
TS Mills,2.6666666666666665,0,1,0,0,11,8,72.72727272727273,0
S Badree,2.6,0,0,0,0,25,13,52.0,0
Imran Tahir,2.5,1,0,0,0,9,5,55.555555555555564,0
Sandeep Sharma,2.5,0,0,0,0,16,15,93.75,0
A Zampa,2.5,1,0,0,0,8,5,62.5,0
AF Milne,2.333333333333333,0,0,0,0,12,7,58.33333333333334,0
Ankit Soni,2.333333333333333,0,1,0,0,9,7,77.7777777777778,0
YS Chahal,2.1666666666666665,0,0,0,0,26,13,50.0,0
Z Khan,2.0,1,0,0,0,26,10,38.46153846153847,0
S Gopal,2.0,0,0,0,0,16,2,12.5,0
Mohammad Nabi,2.0,0,0,0,0,3,2,66.66666666666666,0
JD Unadkat,2.0,0,0,0,0,5,2,40.0,0
VR Aaron,2.0,0,0,0,0,11,4,36.36363636363637,0
Washington Sundar,1.8,0,0,0,0,12,9,75.0,0
CJ Jordan,1.5,0,0,0,0,5,3,60.0,0
BB Sran,1.3333333333333333,0,0,0,0,4,4,100.0,0
M Morkel,1.0,0,0,0,0,1,1,100.0,0
LH Ferguson,1.0,0,0,0,0,1,1,100.0,0
SB Jakati,1.0,0,0,0,0,2,1,50.0,0
A Nehra,1.0,0,0,0,0,1,1,100.0,0
KW Richardson,1.0,0,0,0,0,1,1,100.0,0
DW Steyn,1.0,0,0,0,0,2,1,50.0,0
S Nadeem,0.75,0,0,0,0,14,3,21.428571428571427,0
PJ Sangwan,0.6666666666666666,0,0,0,0,4,2,50.0,0
MM Patel,0.0,0,0,0,0,1,0,0.0,0
S Kaul,0.0,0,0,0,0,2,0,0.0,0
S Kaushik,0.0,0,0,0,0,1,0,0.0,0
SN Thakur,0.0,0,0,0,0,3,0,0.0,0
UBT Chand,0.0,0,0,0,0,5,0,0.0,0
M Ashwin,0.0,0,0,0,0,1,0,0.0,0
