batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
V Kohli,49.269230769230774,107,48,15,4,912,1281,140.46052631578948,16
DA Warner,48.032258064516135,150,56,14,1,1041,1489,143.0355427473583,21
AB de Villiers,36.12,71,53,8,1,586,903,154.09556313993173,10
HM Amla,36.0625,60,21,5,2,418,577,138.03827751196172,6
CA Lynn,35.555555555555564,25,20,2,0,198,320,161.6161616161616,4
Q de Kock,34.230769230769226,53,13,4,1,340,445,130.88235294117646,7
SPD Smith,33.72727272727273,66,20,4,1,584,742,127.05479452054796,12
KL Rahul,33.083333333333336,37,16,4,0,277,397,143.32129963898916,7
M Vijay,32.357142857142854,52,10,5,0,373,453,121.44772117962464,6
G Gambhir,32.225806451612904,118,13,9,0,829,999,120.50663449939688,14
S Dhawan,31.612903225806452,104,17,7,0,821,980,119.36662606577343,14
F du Plessis,30.57142857142857,19,9,2,0,176,214,121.59090909090908,4
SE Marsh,30.214285714285715,49,8,3,0,332,423,127.40963855421688,6
KS Williamson,29.23076923076923,35,10,2,0,296,380,128.37837837837841,5
N Rana,29.13333333333333,30,25,3,0,355,437,123.09859154929576,6
SK Raina,29.0,80,23,6,0,631,841,133.28050713153726,11
AM Rahane,28.73333333333333,89,18,8,0,715,862,120.55944055944056,14
BA Stokes,28.72727272727273,22,15,1,1,227,316,139.20704845814979,4
MK Pandey,28.0,44,21,3,0,505,644,127.52475247524751,10
RA Tripathi,27.92857142857143,45,17,2,0,275,391,142.1818181818182,7
RV Uthappa,27.92857142857143,84,29,8,0,539,782,145.08348794063082,11
SS Tiwary,27.75,26,4,3,0,195,222,113.84615384615385,3
AJ Finch,27.72,72,30,5,0,501,693,138.32335329341316,10
RG Sharma,27.4,82,26,8,0,650,822,126.46153846153848,11
KK Nair,25.52,79,12,4,0,533,638,119.6998123827392,9
KH Pandya,25.26315789473684,46,20,1,0,313,480,153.3546325878594,7
V Shankar,25.25,12,1,1,0,77,101,131.1688311688312,1
AT Rayudu,25.0,35,15,3,0,364,425,116.75824175824177,6
BB McCullum,24.962962962962962,67,34,3,0,500,674,134.8,12
MK Tiwary,24.923076923076927,31,11,2,0,242,324,133.88429752066116,5
KD Karthik,24.857142857142854,67,14,4,0,541,696,128.65064695009244,12
DR Smith,24.47826086956522,66,24,5,0,384,563,146.61458333333331,9
M Vohra,24.375,42,12,2,0,306,390,127.45098039215685,5
SV Samson,24.17857142857143,52,27,4,1,540,677,125.37037037037037,9
JP Duminy,23.875,13,3,0,0,157,191,121.656050955414,3
AD Russell,23.5,11,15,0,0,125,188,150.4,3
RR Pant,23.5,47,30,3,0,381,564,148.03149606299215,10
CH Morris,23.266666666666666,30,18,2,0,211,349,165.40284360189574,4
Yuvraj Singh,23.23809523809524,51,21,2,0,371,488,131.53638814016173,7
SW Billings,22.6,24,5,2,0,173,226,130.635838150289,2
CH Gayle,22.47368421052632,32,35,3,0,331,427,129.00302114803623,6
JC Buttler,22.0,50,26,1,0,375,528,140.79999999999995,5
PA Patel,22.0,74,12,3,0,469,572,121.96162046908316,9
WP Saha,21.91304347826087,48,9,3,0,408,504,123.52941176470587,5
KA Pollard,21.535714285714285,39,39,3,0,450,603,134.0,7
Ishan Kishan,21.266666666666666,34,13,1,0,255,319,125.09803921568628,5
GJ Maxwell,21.26086956521739,35,34,2,0,315,489,155.23809523809524,9
MS Dhoni,21.259259259259263,34,30,2,0,481,574,119.33471933471931,7
UT Khawaja,21.166666666666668,14,3,0,0,105,127,120.95238095238096,2
YK Pathan,21.0,43,19,4,0,379,504,132.98153034300793,7
TM Head,20.5,12,8,1,0,151,205,135.76158940397352,4
SS Iyer,20.444444444444443,38,11,1,0,295,368,124.74576271186442,5
MP Stoinis,20.375,15,4,1,0,136,163,119.85294117647058,3
JJ Roy,19.666666666666668,9,1,0,0,41,59,143.90243902439025,1
KM Jadhav,19.3125,26,12,1,0,227,309,136.12334801762114,4
MJ Guptill,18.9,21,7,0,0,143,189,132.16783216783216,3
Gurkeerat Singh,18.83333333333333,11,3,1,0,87,113,129.8850574712644,1
Mandeep Singh,18.8,22,4,1,0,178,188,105.61797752808987,2
EJG Morgan,18.8,14,6,1,0,167,188,112.5748502994012,1
K Rabada,18.33333333333333,5,1,0,0,68,55,80.88235294117648,1
KP Pietersen,18.25,4,3,0,0,61,73,119.672131147541,1
LMP Simmons,18.125,10,9,2,0,124,145,116.93548387096773,2
AJ Tye,17.666666666666668,4,3,0,0,30,53,176.66666666666663,0
MC Henriques,17.653846153846153,43,10,3,0,367,459,125.06811989100815,6
GJ Bailey,16.8,9,2,0,0,99,84,84.84848484848484,2
BCJ Cutting,16.571428571428573,9,9,0,0,64,116,181.25,1
SN Khan,16.5,7,4,0,0,31,66,212.90322580645162,1
IR Jaggi,16.5,3,0,0,0,40,33,82.5,0
AD Mathews,16.0,2,1,0,0,28,32,114.28571428571428,1
JA Morkel,16.0,0,2,0,0,9,16,177.77777777777774,0
SA Yadav,15.944444444444445,26,8,1,0,237,287,121.09704641350213,3
A Ashish Reddy,15.666666666666664,2,4,0,0,30,47,156.66666666666666,1
NLTC Perera,15.0,7,11,0,0,97,150,154.63917525773198,1
Anureet Singh,15.0,2,0,0,0,12,15,125.0,0
Sachin Baby,14.888888888888891,11,5,0,0,99,134,135.35353535353536,1
AR Patel,14.695652173913045,15,19,0,0,252,338,134.12698412698413,4
Shakib Al Hasan,14.375,7,5,1,0,109,115,105.50458715596329,1
DA Miller,14.352941176470587,14,7,0,0,221,244,110.40723981900452,3
C de Grandhomme,14.0,10,6,0,0,92,126,136.95652173913044,2
DL Chahar,14.0,0,2,0,0,6,14,233.33333333333331,0
Ankit Sharma,14.0,2,1,0,0,19,28,147.36842105263156,0
Iqbal Abdulla,14.0,4,1,0,0,34,42,123.52941176470587,1
RA Jadeja,13.96,27,8,0,0,307,349,113.68078175895765,1
SP Narine,13.588235294117649,34,10,1,0,149,231,155.03355704697987,4
CJ Anderson,12.909090909090908,8,9,0,0,130,142,109.23076923076924,2
SP Jackson,12.666666666666664,5,0,0,0,31,38,122.58064516129032,0
P Negi,12.5625,13,10,0,0,177,201,113.55932203389831,2
AR Bawne,12.0,1,0,0,0,12,12,100.0,0
ER Dwivedi,12.0,3,2,0,0,15,24,160.0,0
NV Ojha,11.944444444444445,9,8,0,0,212,215,101.41509433962266,2
JP Faulkner,11.909090909090908,11,0,0,0,120,131,109.16666666666666,1
