bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
A Dananjaya,4,48,12,0,4,1,0.25,0,0,1,0
A Joseph,9,94,10.44444444,2,9,3,0.333333333,0,0,4,6
A Mishra,519,3850,7.418111753,83,519,57,0.10982659,20,0.038535645,22,23
A Roy,2,14,7,0,2,3,1.5,0,0,0,1
A Singh,90,769,8.544444444,30,90,21,0.233333333,1,0.011111111,51,3
AD Russell,175,1584,9.051428571,42,175,35,0.2,4,0.022857143,54,24
AJ Tye,99,871,8.797979798,42,99,22,0.222222222,2,0.02020202,27,31
AR Patel,286,2183,7.632867133,45,286,37,0.129370629,0,0,43,15
AS Rajpoot,72,665,9.236111111,12,72,21,0.291666667,8,0.111111111,34,14
Ankit Sharma,64,475,7.421875,5,64,14,0.21875,1,0.015625,24,1
Anureet Singh,69,636,9.217391304,22,69,16,0.231884058,6,0.086956522,27,2
Avesh Khan,26,264,10.15384615,4,26,3,0.115384615,1,0.038461538,16,4
B Kumar,439,3264,7.435079727,157,439,110,0.250569476,8,0.018223235,231,24
B Laughlin,28,293,10.46428571,12,28,10,0.357142857,1,0.035714286,6,9
B Stanlake,24,204,8.5,1,24,6,0.25,0,0,14,5
BA Stokes,98,867,8.846938776,28,98,27,0.275510204,2,0.020408163,26,15
BB Sran,81,786,9.703703704,15,81,32,0.395061728,7,0.086419753,38,6
BCJ Cutting,48,434,9.041666667,13,48,7,0.145833333,0,0,7,3
Basil Thampi,68,666,9.794117647,25,68,11,0.161764706,1,0.014705882,18,5
C de Grandhomme,37,338,9.135135135,3,37,16,0.432432432,2,0.054054054,2,3
CH Morris,214,1793,8.378504673,82,214,50,0.23364486,5,0.023364486,84,16
CJ Anderson,50,532,10.64,15,50,21,0.42,0,0,12,5
CJ Jordan,33,316,9.575757576,11,33,17,0.515151515,2,0.060606061,8,0
CR Brathwaite,44,392,8.909090909,11,44,9,0.204545455,7,0.159090909,4,6
CR Woakes,63,603,9.571428571,23,63,22,0.349206349,0,0,20,8
D Short,3,27,9,0,3,0,0,0,0,0,1
D Willey,10,98,9.8,3,10,1,0.1,0,0,4,2
DJ Bravo,437,3733,8.542334096,193,437,124,0.28375286,6,0.013729977,36,31
DJ Hooda,38,318,8.368421053,3,38,11,0.289473684,0,0,9,0
DL Chahar,116,923,7.956896552,10,116,32,0.275862069,5,0.043103448,94,32
DS Kulkarni,292,2461,8.428082192,56,292,99,0.339041096,7,0.023972603,166,10
DT Christian,131,1067,8.145038168,33,131,33,0.251908397,3,0.022900763,29,4
DW Steyn,352,2454,6.971590909,103,352,105,0.298295455,7,0.019886364,183,4
